Name	DMD_mean_TPM	WT_mean_TPM	log2FC
ENSMUST00000229280.2	0.000000	55.903163	-5.830437
ENSMUST00000211494.2	0.000000	36.742198	-5.238107
ENSMUST00000162550.2	0.000000	25.872584	-4.748063
ENSMUST00000118324.2	0.000000	22.944367	-4.581614
ENSMUST00000226671.2	0.000000	14.059048	-3.912559
ENSMUST00000127425.4	0.000000	13.601706	-3.868065
ENSMUST00000148569.4	0.000000	12.817679	-3.788443
ENSMUST00000206012.2	0.000000	12.175860	-3.719825
ENSMUST00000129170.8	0.000000	11.576398	-3.652647
ENSMUST00000168856.2	0.000000	11.040612	-3.589837
